"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Adelocosa anops","Kauai cave wolf or pe'e pe'e maka 'ole spider","Wherever found","1","Endangered","Arachnids"
"Texella reddelli","Bee Creek Cave harvestman","Wherever found","2","Endangered","Arachnids"
"Texella reyesi","Bone Cave harvestman","Wherever found","2","Endangered","Arachnids"
"Tartarocreagris texana","Tooth Cave pseudoscorpion","Wherever found","2","Endangered","Arachnids"
"Tayshaneta myopica","Tooth Cave spider","Wherever found","2","Endangered","Arachnids"
"Microhexura montivaga","Spruce-fir moss spider","Wherever found","4","Endangered","Arachnids"
"Texella cokendolpheri","Cokendolpher Cave Harvestman","Wherever found","2","Endangered","Arachnids"
"Tayshaneta microps","Government Canyon Bat Cave spider","Wherever found","2","Endangered","Arachnids"
"Cicurina madla","Madla Cave Meshweaver","Wherever found","2","Endangered","Arachnids"
"Cicurina baronia","Robber Baron Cave Meshweaver","Wherever found","2","Endangered","Arachnids"
"Cicurina vespera","Government Canyon Bat Cave meshweaver","Wherever found","2","Endangered","Arachnids"
