"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Adenophorus periens","Palai la`au","Wherever found","1","Endangered","Ferns and Allies"
"Asplenium peruvianum var. insulare","No common name","Wherever found","1","Endangered","Ferns and Allies"
"Asplenium scolopendrium var. americanum","American hart's-tongue fern","Wherever found","5","Threatened","Ferns and Allies"
"Asplenium dielerectum","No common name","Wherever found","1","Endangered","Ferns and Allies"
"Asplenium (=Diellia) dielfalcatum (=falcata)","No common name","Wherever found","1","Endangered","Ferns and Allies"
"Diplazium molokaiense","No common name","Wherever found","1","Endangered","Ferns and Allies"
"Isoetes louisianensis","Louisiana quillwort","Wherever found","4","Endangered","Ferns and Allies"
"Marsilea villosa","Ihi`ihi","Wherever found","1","Endangered","Ferns and Allies"
"Polystichum aleuticum","Aleutian shield fern","Wherever found","7","Endangered","Ferns and Allies"
"Pteris lidgatei","No common name","Wherever found","1","Endangered","Ferns and Allies"
"Isoetes melanospora","Black spored quillwort","Wherever found","4","Endangered","Ferns and Allies"
"Isoetes tegetiformans","Mat-forming quillwort","Wherever found","4","Endangered","Ferns and Allies"
"Ctenitis squamigera","Pauoa","Wherever found","1","Endangered","Ferns and Allies"
"Cyathea dryopteroides","Elfin tree fern","Wherever found","4","Endangered","Ferns and Allies"
"Phlegmariurus mannii","Wawae`iole","Wherever found","1","Endangered","Ferns and Allies"
"Phlegmariurus nutans","Wawae`iole","Wherever found","1","Endangered","Ferns and Allies"
"Thelypteris pilosa var. alabamensis","Alabama streak-sorus fern","Wherever found","4","Threatened","Ferns and Allies"
"Asplenium unisorum","No common name","Wherever found","1","Endangered","Ferns and Allies"
"Elaphoglossum serpens","No common name","Wherever found","4","Endangered","Ferns and Allies"
"Polystichum calderonense","No common name","Wherever found","4","Endangered","Ferns and Allies"
"Tectaria estremerana","No common name","Wherever found","4","Endangered","Ferns and Allies"
"Thelypteris inabonensis","No common name","Wherever found","4","Endangered","Ferns and Allies"
"Thelypteris verecunda","No common name","Wherever found","4","Endangered","Ferns and Allies"
"Thelypteris yaucoensis","No common name","Wherever found","4","Endangered","Ferns and Allies"
"Asplenium dielpallidum","No common name","Wherever found","1","Endangered","Ferns and Allies"
"Menisciopsis boydiae","Kupukupu makali`i","Wherever found","1","Endangered","Ferns and Allies"
"Microlepia strigosa var. mauiensis","No common name","Wherever found","1","Endangered","Ferns and Allies"
"Doryopteris takeuchii","No common name","Wherever found","1","Endangered","Ferns and Allies"
"Dryopteris glabra var. pusilla","Hohiu","Wherever found","1","Endangered","Ferns and Allies"
"Phlegmariurus stemmermanniae","No common name","Wherever found","1","Endangered","Ferns and Allies"
"Asplenium dielmannii","No common name","Wherever found","1","Endangered","Ferns and Allies"
"Trichomanes punctatum ssp. floridanum","Florida bristle fern","","4","Endangered","Ferns and Allies"
"Doryopteris angelica","No common name","Wherever found","1","Endangered","Ferns and Allies"
"Dryopteris crinalis var. podosorus","Palapalai aumakua","Wherever found","1","Endangered","Ferns and Allies"
"Asplenium diellaciniatum","No common name","Wherever found","1","Endangered","Ferns and Allies"
"Deparia kaalaana","No common name","Wherever found","1","Endangered","Ferns and Allies"
"Hypolepis hawaiiensis var. mauiensis","olua","Wherever found","1","Endangered","Ferns and Allies"
